trade_date,open,high,low,close,atr,atr_pct
2009-04-24,2990.47,3002.09,2954.19,2956.25,84.7242,2.8659
2009-04-27,2948.43,2955.16,2829.24,2838.17,87.7446,3.0916
2009-04-28,2812.15,2870.51,2811.64,2870.51,85.6821,2.9849
2009-04-29,2870.53,2939.43,2861.93,2933.56,85.0977,2.9008
2009-04-30,2943.51,2980.95,2933.40,2971.90,82.4157,2.7732
2009-05-04,2979.81,3069.85,2979.81,3069.85,83.5253,2.7208
2009-05-05,3093.53,3128.56,3075.90,3117.40,81.7528,2.6225
2009-05-06,3113.66,3175.64,3102.38,3175.64,81.1461,2.5553
2009-05-07,3190.75,3196.73,3090.64,3154.78,82.9279,2.6286
2009-05-08,3138.12,3175.41,3108.63,3160.74,81.7744,2.5872
2009-05-11,3170.97,3173.62,3033.39,3033.39,85.9498,2.8335
2009-05-12,3005.82,3108.81,3000.69,3108.81,87.5334,2.8157
2009-05-13,3112.53,3146.93,3095.23,3137.42,84.9739,2.7084
2009-05-14,3118.64,3166.87,3105.15,3160.98,83.3129,2.6357
2009-05-15,3170.07,3194.20,3157.52,3183.19,79.9820,2.5126
2009-05-18,3175.59,3215.19,3134.15,3212.93,80.0575,2.4917
2009-05-19,3229.79,3247.47,3217.32,3243.41,76.8063,2.3681
2009-05-20,3241.11,3266.33,3221.47,3227.42,74.5244,2.3091
2009-05-21,3210.37,3226.23,3151.45,3170.25,74.6277,2.3540
2009-05-22,3159.48,3195.18,3146.04,3164.27,72.8071,2.3009
2009-05-25,3081.76,3171.88,3051.87,3165.13,76.1788,2.4068
2009-05-26,3164.93,3219.85,3164.93,3179.55,74.6603,2.3481
2009-05-27,3188.26,3200.64,3148.79,3179.67,73.0310,2.2968
2009-06-01,3198.59,3228.13,3194.84,3226.04,71.2759,2.2094
2009-06-02,3238.17,3252.86,3223.84,3242.41,68.2576,2.1052
2009-06-03,3240.05,3266.59,3239.01,3266.59,65.3521,2.0006
2009-06-04,3257.22,3265.77,3204.82,3256.33,65.0962,1.9991
2009-06-05,3258.76,3277.16,3239.94,3243.50,63.1051,1.9456
2009-06-08,3245.52,3267.71,3219.12,3244.39,62.0683,1.9131
2009-06-09,3243.71,3266.02,3188.76,3266.02,63.1534,1.9336
2009-06-10,3271.41,3302.47,3265.77,3302.47,61.2639,1.8551
2009-06-11,3297.32,3316.84,3263.03,3282.26,60.7314,1.8503
2009-06-12,3278.44,3286.27,3197.27,3217.71,62.7506,1.9502
2009-06-15,3214.73,3258.58,3200.12,3258.58,62.4442,1.9163
2009-06-16,3228.95,3256.39,3219.68,3250.12,60.7624,1.8695
2009-06-17,3245.30,3297.42,3237.12,3293.83,60.7294,1.8437
2009-06-18,3297.13,3311.46,3286.89,3311.36,58.1466,1.7560
2009-06-19,3315.20,3330.32,3295.59,3319.76,56.4740,1.7011
2009-06-22,3332.51,3335.19,3285.79,3297.35,55.9687,1.6974
2009-06-23,3259.32,3318.02,3249.17,3295.94,56.8888,1.7260
2009-06-24,3296.79,3333.87,3290.78,3333.87,55.9032,1.6768
2009-06-25,3335.43,3348.75,3321.29,3339.82,53.8715,1.6130
2009-06-26,3343.39,3357.23,3330.05,3356.42,51.9650,1.5482
2009-06-29,3360.36,3380.68,3353.03,3364.94,50.2282,1.4927
2009-06-30,3365.22,3365.41,3322.86,3335.10,49.6797,1.4896
2009-07-01,3324.32,3357.63,3321.79,3357.22,48.6912,1.4503
2009-07-02,3367.13,3389.92,3358.72,3389.92,47.5490,1.4027
2009-07-03,3378.73,3424.08,3366.88,3423.77,48.2383,1.4089
2009-07-06,3426.37,3428.93,3389.66,3417.16,47.5977,1.3929
2009-07-07,3414.55,3450.61,3399.04,3433.16,47.8815,1.3947
2009-07-08,3419.27,3481.94,3412.12,3479.21,49.4485,1.4213
2009-07-09,3479.08,3551.98,3479.08,3551.98,51.1236,1.4393
2009-07-10,3553.46,3585.61,3547.12,3566.93,50.2212,1.4080
2009-07-13,3556.61,3617.49,3551.88,3598.01,51.3204,1.4264
2009-07-14,3608.92,3658.50,3608.92,3658.50,51.9754,1.4207
2009-07-15,3671.57,3697.93,3663.26,3694.75,51.0793,1.3825
2009-07-16,3702.90,3719.34,3671.41,3682.37,50.8543,1.3810
2009-07-17,3672.52,3712.84,3662.72,3703.26,50.8019,1.3718
2009-07-20,3713.33,3768.36,3713.33,3768.36,51.8232,1.3752
2009-07-21,3773.29,3773.29,3663.04,3671.16,55.9965,1.5253
2009-07-22,3666.34,3725.46,3666.34,3725.45,56.2196,1.5091
2009-07-23,3730.72,3771.71,3723.01,3771.71,55.6825,1.4763
2009-07-24,3784.50,3791.66,3674.06,3741.69,60.1052,1.6064
2009-07-27,3751.59,3816.15,3751.59,3816.04,61.1305,1.6019
2009-07-28,3820.96,3865.94,3789.00,3865.94,62.2598,1.6105
2009-07-29,3853.99,3859.08,3534.54,3618.03,81.4841,2.2522
2009-07-30,3629.47,3682.57,3535.76,3660.61,86.1502,2.3534
2009-07-31,3678.64,3773.39,3670.60,3771.17,88.0523,2.3349
2009-08-03,3783.49,3838.62,3761.73,3838.62,87.2550,2.2731
2009-08-04,3840.23,3876.24,3776.57,3876.24,88.1418,2.2739
2009-08-05,3874.90,3920.69,3825.16,3901.16,88.6695,2.2729
2009-08-06,3876.75,3914.77,3785.33,3849.22,91.5817,2.3792
2009-08-07,3844.77,3869.91,3727.67,3742.53,95.2002,2.5437
2009-08-10,3777.36,3807.19,3708.37,3774.80,95.4587,2.5288
2009-08-11,3784.71,3803.04,3748.73,3800.70,92.5195,2.4343
2009-08-12,3787.97,3787.97,3602.42,3610.93,100.0739,2.7714
2009-08-13,3608.82,3633.92,3540.76,3616.84,99.5800,2.7532
2009-08-14,3612.38,3620.68,3434.00,3434.00,105.8014,3.0810
2009-08-17,3389.62,3395.88,3196.08,3197.23,115.2385,3.6043
2009-08-18,3162.93,3261.74,3140.34,3252.12,115.6786,3.5570
2009-08-19,3249.88,3267.01,3060.47,3086.19,122.1687,3.9586
2009-08-20,3077.99,3208.57,3077.63,3206.88,122.7952,3.8291
2009-08-21,3200.60,3312.08,3177.55,3312.08,123.6334,3.7328
2009-08-24,3316.24,3408.75,3299.14,3395.40,122.6317,3.6117
2009-08-25,3377.81,3377.81,3256.55,3355.87,123.7902,3.6888
2009-08-26,3337.56,3490.91,3316.17,3461.41,127.4295,3.6814
2009-08-27,3449.51,3527.26,3428.63,3500.65,125.3724,3.5814
2009-08-28,3487.76,3491.13,3381.39,3398.37,124.9358,3.6763
2009-08-31,3350.02,3350.02,3160.12,3163.17,133.0296,4.2056
2009-09-01,3129.71,3200.42,3096.54,3138.41,130.9475,4.1724
2009-09-02,3119.67,3163.17,3085.36,3151.00,127.1520,4.0353
2009-09-03,3150.83,3304.09,3148.98,3293.92,129.1490,3.9208
2009-09-04,3286.12,3372.31,3271.47,3355.19,127.1269,3.7890
2009-09-07,3369.50,3435.12,3366.74,3405.00,123.7557,3.6345
2009-09-08,3390.03,3455.47,3354.85,3455.47,122.1032,3.5336
2009-09-09,3456.20,3470.80,3412.53,3466.62,117.5436,3.3907
2009-09-10,3452.47,3467.81,3406.44,3429.54,113.5312,3.3104
2009-09-11,3416.81,3502.15,3415.89,3492.15,111.5833,3.1953
2009-09-14,3505.09,3588.08,3504.67,3579.92,110.4652,3.0857
2009-09-15,3580.88,3634.62,3561.70,3619.60,107.7834,2.9778
2009-09-16,3612.68,3671.17,3568.70,3646.41,107.4039,2.9455
2009-09-17,3654.05,3750.21,3654.05,3740.77,107.1465,2.8643
2009-09-18,3748.15,3769.12,3593.66,3626.91,112.0260,3.0887
2009-09-21,3593.12,3679.38,3524.48,3676.52,115.0884,3.1304
2009-09-22,3668.10,3703.28,3589.19,3589.19,115.0171,3.2045
2009-09-23,3573.68,3609.83,3460.30,3482.48,117.4823,3.3735
2009-09-24,3460.71,3501.26,3362.91,3452.76,118.9729,3.4457
2009-09-25,3438.03,3461.02,3401.64,3415.83,114.7162,3.3584
2009-09-28,3425.47,3459.10,3291.93,3308.50,118.4629,3.5806
2009-09-29,3300.06,3318.75,3161.48,3220.38,121.2349,3.7646
2009-09-30,3238.06,3292.43,3238.06,3250.40,117.7217,3.6218
2009-10-09,3301.83,3419.11,3301.83,3419.11,121.3637,3.5496
2009-10-12,3428.11,3468.01,3402.02,3439.28,117.4084,3.4137
2009-10-13,3430.10,3501.87,3424.43,3501.87,114.5535,3.2712
2009-10-14,3513.73,3569.94,3511.22,3543.41,111.2333,3.1392
2009-10-15,3558.83,3576.67,3527.25,3559.61,106.8180,3.0008
2009-10-16,3564.62,3578.56,3514.54,3578.56,103.7610,2.8995
2009-10-19,3577.87,3661.71,3571.84,3661.71,102.7688,2.8066
2009-10-20,3675.12,3715.83,3658.75,3715.83,99.5053,2.6779
2009-10-21,3709.69,3728.91,3686.21,3686.21,95.4478,2.5893
2009-10-22,3669.93,3728.56,3661.99,3706.28,93.3851,2.5196
2009-10-23,3709.34,3769.76,3709.34,3751.55,91.2490,2.4323
2009-10-26,3760.59,3768.97,3719.19,3761.27,88.2870,2.3473
2009-10-27,3738.04,3738.04,3657.49,3657.89,89.3936,2.4439
2009-10-28,3640.67,3695.39,3611.88,3695.39,88.9733,2.4077
2009-10-29,3640.74,3667.60,3613.11,3624.55,88.4953,2.4416
2009-10-30,3665.74,3701.99,3639.96,3665.99,87.7056,2.3924
2009-11-02,3579.57,3784.19,3574.26,3784.19,96.4359,2.5484
2009-11-03,3792.56,3870.44,3791.28,3869.77,95.7083,2.4732
2009-11-04,3875.36,3912.64,3863.79,3911.09,92.3613,2.3615
2009-11-05,3909.73,3959.08,3897.07,3951.00,90.1934,2.2828
2009-11-06,3966.79,4002.13,3958.11,3969.64,87.4031,2.2018
2009-11-09,3973.39,4006.83,3949.79,4006.83,85.2343,2.1272
2009-11-10,4019.88,4044.31,4004.88,4017.98,81.9626,2.0399
2009-11-11,4011.71,4051.62,3996.56,4046.11,80.0410,1.9782
2009-11-12,4051.55,4096.22,4041.47,4056.64,78.2345,1.9286
2009-11-13,4041.44,4104.99,4008.08,4104.99,79.5684,1.9383
2009-11-16,4129.49,4197.54,4129.49,4197.54,80.4957,1.9177
2009-11-17,4209.03,4239.84,4176.31,4226.50,79.2839,1.8759
2009-11-18,4222.53,4253.37,4198.60,4253.37,77.5329,1.8229
2009-11-19,4255.64,4331.01,4250.79,4331.01,77.7248,1.7946
2009-11-20,4322.46,4392.56,4301.62,4358.75,78.6688,1.8048
2009-11-23,4365.47,4445.73,4365.47,4445.73,79.2624,1.7829
2009-11-24,4457.78,4461.63,4170.55,4193.56,94.3922,2.2509
2009-11-25,4174.86,4360.02,4161.02,4360.02,101.8642,2.3363
2009-11-26,4365.81,4386.48,4162.29,4182.09,110.6018,2.6447
2009-11-27,4122.38,4208.36,4043.49,4074.01,114.4781,2.8100
2009-11-30,4103.54,4264.05,4103.54,4264.05,119.8754,2.8113
2009-12-01,4268.19,4394.99,4248.89,4394.99,121.7485,2.7702
2009-12-02,4410.74,4484.05,4404.46,4474.93,119.4137,2.6685
2009-12-03,4462.58,4515.84,4450.05,4515.84,115.5834,2.5595
2009-12-04,4503.67,4533.17,4279.57,4375.98,125.4417,2.8666
2009-12-07,4375.16,4459.08,4375.16,4459.08,122.4759,2.7467
2009-12-08,4457.13,4471.71,4402.31,4450.83,118.6847,2.6666
2009-12-09,4407.21,4449.06,4363.74,4386.53,116.4280,2.6542
2009-12-10,4400.14,4434.56,4362.71,4411.69,113.2438,2.5669
2009-12-11,4418.00,4438.92,4390.28,4408.39,108.6293,2.4641
2009-12-14,4407.44,4408.21,4296.17,4384.54,108.8858,2.4834
2009-12-15,4384.90,4426.48,4372.32,4412.45,104.9768,2.3791
2009-12-16,4398.48,4427.71,4374.11,4391.34,101.3070,2.3070
2009-12-17,4390.56,4403.99,4256.66,4258.45,104.5944,2.4562
2009-12-18,4215.86,4215.86,4080.39,4091.68,109.8419,2.6845
2009-12-21,4083.96,4146.90,4070.36,4146.90,107.4632,2.5914
