date,open,high,low,close
2021-03-24,6249.23,6286.85,6183.20,6196.27
2021-03-25,6172.40,6233.69,6130.25,6190.71
2021-03-26,6198.53,6309.59,6198.53,6301.34
2021-03-29,6323.94,6364.54,6309.77,6326.61
2021-03-30,6313.48,6316.82,6268.25,6301.58
2021-03-31,6289.60,6298.79,6252.40,6293.39
2021-04-01,6302.56,6341.24,6286.06,6335.79
2021-04-02,6354.71,6383.46,6337.98,6361.25
2021-04-06,6376.72,6425.39,6374.72,6421.49
2021-04-07,6419.99,6422.77,6372.25,6422.76
2021-04-08,6411.03,6435.36,6387.91,6404.13
2021-04-09,6399.15,6410.53,6378.27,6399.52
2021-04-12,6398.51,6402.33,6251.49,6263.40
2021-04-13,6252.71,6282.97,6216.19,6231.14
2021-04-14,6227.25,6320.57,6225.56,6320.07
2021-04-15,6304.74,6304.79,6258.95,6296.61
2021-04-16,6295.53,6379.97,6295.53,6368.85
2021-04-19,6368.86,6477.41,6357.50,6477.39
2021-04-20,6460.52,6506.88,6450.39,6457.63
2021-04-21,6425.34,6470.94,6408.04,6457.71
2021-04-22,6470.46,6496.44,6463.14,6485.21
2021-04-23,6478.93,6478.93,6425.66,6453.30
2021-04-26,6467.88,6527.33,6427.76,6431.09
2021-04-27,6423.79,6429.86,6338.13,6400.90
2021-04-28,6395.02,6437.27,6366.01,6437.25
2021-04-29,6419.04,6441.85,6394.37,6405.10
2021-04-30,6389.17,6397.27,6348.80,6382.14
2021-05-06,6385.32,6420.42,6347.99,6398.44
2021-05-07,6403.98,6409.35,6320.07,6320.25
2021-05-10,6330.15,6351.42,6300.86,6338.57
2021-05-11,6303.58,6354.24,6239.26,6343.86
2021-05-12,6321.98,6420.34,6311.91,6420.34
2021-05-13,6365.00,6432.63,6354.23,6375.01
2021-05-14,6395.51,6462.50,6374.87,6462.48
2021-05-17,6456.92,6496.38,6438.87,6457.28
2021-05-18,6451.07,6486.92,6431.24,6486.82
2021-05-19,6470.29,6500.12,6455.82,6488.95
2021-05-20,6455.72,6505.52,6445.97,6482.84
2021-05-21,6492.85,6509.37,6468.45,6480.37
2021-05-24,6480.55,6537.86,6471.22,6537.86
2021-05-25,6542.68,6617.43,6532.90,6615.71
2021-05-26,6618.18,6666.21,6609.91,6644.75
2021-05-27,6636.77,6706.38,6630.03,6705.05
2021-05-28,6709.89,6735.55,6669.92,6694.35
2021-05-31,6712.75,6814.36,6712.75,6814.36
2021-06-01,6810.47,6854.75,6782.66,6854.73
2021-06-02,6844.85,6852.64,6742.03,6759.46
2021-06-03,6754.78,6824.98,6729.56,6754.07
2021-06-04,6725.82,6803.78,6718.76,6785.80
2021-06-07,6811.04,6861.85,6807.93,6861.85
2021-06-08,6865.76,6886.94,6779.93,6809.86
2021-06-09,6807.48,6834.04,6783.01,6823.41
2021-06-10,6817.59,6903.88,6808.66,6898.21
2021-06-11,6907.83,6907.95,6852.97,6852.97
2021-06-15,6854.81,6866.18,6796.88,6815.12
2021-06-16,6808.63,6810.20,6668.04,6673.24
2021-06-17,6669.67,6790.71,6669.67,6787.67
2021-06-18,6783.99,6869.26,6765.96,6863.72
